"Variable","Fold","region","N_Calibration","N_Test","Mean_Calibration","Mean_Test","Median_Calibration","Median_Test","StdDev_Calibration","StdDev_Test","Min_Calibration","Min_Test","Max_Calibration","Max_Test","maxdiff","mindiff","meandiff"
"read_age",6,"S Kodiak",13,1,79.3076923076923,80,78,80,11.0029133671088,NA,64,80,104,80,24,16,0.692307692307693
"read_age",6,"W Shumagins",27,2,83.0740740740741,82,83,82,10.9822441517973,7.07106781186548,56,77,102,87,15,21,1.07407407407408
"read_age",7,"E Shumagins",30,3,78.1333333333333,80.3333333333333,75.5,85,9.90204901586756,8.9628864398325,63,70,97,86,11,7,2.19999999999999
"read_age",7,"LPW",49,8,141,141.75,135,133,23.6299597968342,30.1650223177204,109,113,204,205,1,4,0.75
"read_age",7,"N Kodiak",29,2,90.6551724137931,87,87,87,17.3704919374145,12.7279220613579,65,78,127,96,31,13,3.65517241379311
"read_age",7,"S Kodiak",13,1,80.5384615384615,64,78,64,9.99679435798784,NA,67,64,104,64,40,3,16.5384615384615
"read_age",7,"W Shumagins",26,3,82.5384615384615,87,82,88,10.8673116058417,9.53939201416946,56,77,102,96,6,21,4.46153846153847
"read_age",8,"E Shumagins",30,3,77.9666666666667,82,75.5,78,9.48858963878897,13.4536240470737,63,71,94,97,3,8,4.03333333333333
"read_age",8,"LPW",51,6,140.764705882353,144,135,139.5,24.3274234026492,26.5631323454144,109,117,205,183,22,8,3.23529411764707
"read_age",8,"N Kodiak",28,3,90.1785714285714,92.6666666666667,88,86,17.2563537872792,17.0098010962308,65,80,127,112,15,15,2.48809523809524
"read_age",8,"S Kodiak",13,1,78.3076923076923,93,78,93,10.2175063443795,NA,64,93,104,93,11,29,14.6923076923077
"read_age",8,"W Shumagins",26,3,83,83,84,81,11.2498888883402,3.46410161513775,56,81,102,87,15,25,0
"read_age",9,"E Shumagins",29,4,78.1034482758621,80,76,80,9.84285392551443,9.86576572463249,63,69,97,91,6,6,1.89655172413794
"read_age",9,"LPW",53,4,141.188679245283,140,135,140,24.4635180530061,26.1406452355969,110,109,205,171,34,1,1.18867924528303
"read_age",9,"N Kodiak",28,3,90.0714285714286,93.6666666666667,86.5,95,16.8103331789498,22.0302821891444,65,71,127,115,12,6,3.5952380952381
"read_age",9,"S Kodiak",13,1,79.4615384615385,78,78,78,10.9970858610769,NA,64,78,104,78,26,14,1.46153846153847
"read_age",9,"W Shumagins",26,3,83.8461538461538,75.6666666666667,85.5,77,10.7282517035808,8.08290376865476,56,67,102,83,19,11,8.17948717948717
"read_age",10,"E Shumagins",29,4,78.7586206896552,75.25,76,74,9.9844707006638,7.8049129826454,63,68,97,85,12,5,3.50862068965517
"read_age",10,"LPW",51,6,140.862745098039,143.166666666667,135,135,23.6626453363466,32.0962095373685,109,110,205,204,1,1,2.30392156862743
"read_age",10,"N Kodiak",28,3,89.8928571428571,95.3333333333333,86.5,101,16.5581786565818,24.0069434400411,65,69,127,116,11,4,5.44047619047619
"read_age",10,"S Kodiak",12,2,79.0833333333333,81,78,81,11.269091544682,7.07106781186548,64,76,104,86,18,12,1.91666666666667
"read_age",10,"W Shumagins",26,3,81.6923076923077,94.3333333333333,82,102,9.80925779361204,13.2790561913614,56,79,97,102,5,23,12.6410256410256
