"ModelType","nComp","R2","RMSE","Bias","RPD","Fold"
"PCA-GAM",NA,0.945498099850623,7.91803862470933,-1.42228564507657,4.26439112925322,8
"Simple-LM",NA,0.827866376955734,14.8654638376661,1.25982445378094,2.3295803380478,8
"Simple-GAM",NA,0.862705200320696,12.7830294201918,2.56736675253248,2.70908335840066,8
"SNV+SG",3,0.831254689406239,12.6522745544025,-2.26754761495089,2.56126785377042,9
"SG Only",4,0.81627922740577,12.975867890823,-2.88730495114313,2.47701829022653,9
"Filtered SG",3,0.72078154113287,15.9966611922249,-4.78193767662836,2.05275198297771,9
"VIP > 0.5",3,0.676905209190809,17.2076776461385,-4.73617029528052,1.89418777477752,9
"VIP > 1.0",3,0.618321217036799,18.7027855040239,-4.93840134030097,1.73710417907181,9
"PCA-LM",NA,0.885328484013966,13.0323334423407,3.45559436713053,2.40445532483844,9
"PCA-GAM",NA,0.874933071112392,10.7763838655596,-0.747932263908776,2.90780877253754,9
"Simple-LM",NA,0.90336055197428,12.4791085942856,2.43807227954652,2.66202979504995,9
"Simple-GAM",NA,0.939546332532613,8.09221385974353,-0.386336240553944,4.10515088570645,9
"SNV+SG",1,0.895582822491268,9.75269321796582,-0.367531695614054,3.18665041221474,10
"SG Only",4,0.819426482670995,14.4947138670146,3.49216400997156,2.49499594455566,10
"Filtered SG",3,0.847033897858759,13.3407491440224,3.26274206652995,2.71335970911721,10
"VIP > 0.5",3,0.841018130086621,13.6005483330428,3.41146367801149,2.66593148668909,10
"VIP > 1.0",2,0.832047000256786,13.9790127272198,4.20374289767981,2.63269277515915,10
"PCA-LM",NA,0.886797725954603,13.4841843276206,-4.32458777531098,2.60297339369574,10
"PCA-GAM",NA,0.924840886785183,10.428534640738,-2.63393336505347,3.36566682181551,10
"Simple-LM",NA,0.810793523343115,15.4157793016912,3.57196173756514,1.89283100180142,10
"Simple-GAM",NA,0.871673237442808,11.5162857287346,2.93663491290891,2.53375660056464,10
