"ModelType","nComp","R2","RMSE","Bias","RPD","Cal_Region","Val_Region"
"VIP > 0.5",2,-0.0974801793875497,17.4848719801053,-11.6961853487509,1.30540058149377,"S Kodiak","N Kodiak"
"VIP > 1.0",2,-0.114509627004532,17.6200049539398,-12.3450195218874,1.34947978399724,"S Kodiak","N Kodiak"
"SNV+SG",5,0.999613195514851,0.200376396456519,4.06024420434343e-15,52.7650788002508,"S Kodiak","S Kodiak"
"SG Only",4,0.996458834230731,0.606280974701143,-7.105427357601e-15,17.438905045553,"S Kodiak","S Kodiak"
"VIP > 0.5",2,0.884594197604444,3.46110387733186,-1.52259157662879e-15,3.05477001657895,"S Kodiak","S Kodiak"
"VIP > 1.0",2,0.881713650680958,3.50403249980262,-3.04518315325757e-15,3.01734540114399,"S Kodiak","S Kodiak"
"Filtered SG",2,0.879634658063574,3.5346916859577,-1.52259157662879e-15,2.99117356988771,"S Kodiak","S Kodiak"
"PCA-GAM",NA,0.855646886932095,3.90360156644056,1.82710958218249e-13,2.70849270059578,"S Kodiak","S Kodiak"
"Simple-GAM",NA,0.513944384394213,7.11146978596327,1.7560547665054e-13,1.48673574759573,"S Kodiak","S Kodiak"
"Simple-LM",NA,0.453726358347904,7.53018999930087,-1.92861948199868e-14,1.4040650169146,"S Kodiak","S Kodiak"
"PCA-LM",NA,0.419333058393501,7.76362164560084,-2.74066038495861e-14,1.36184848146606,"S Kodiak","S Kodiak"
"Simple-GAM",NA,0.645879387356389,6.26151878697101,0.0698415805433394,1.70412109573687,"S Kodiak","W Shumagins"
"Simple-LM",NA,0.620483152955885,7.13883869550094,1.98791119816748,1.49469496529663,"S Kodiak","W Shumagins"
"PCA-LM",NA,0.608453751507444,7.48222421054413,-1.44074602815593,1.4260981702731,"S Kodiak","W Shumagins"
"SG Only",4,0.536726853227608,7.13639238500602,0.397247710692257,1.49752925868076,"S Kodiak","W Shumagins"
"SNV+SG",5,0.516653074060453,7.28936400398524,0.856650779239029,1.47404400363367,"S Kodiak","W Shumagins"
"Filtered SG",2,0.234062815964054,9.17607034573529,-1.30282975876946,1.17475020439851,"S Kodiak","W Shumagins"
"VIP > 1.0",2,0.221380302190747,9.25172788449942,0.0800591400907447,1.15338301348957,"S Kodiak","W Shumagins"
"VIP > 0.5",2,0.220427695866729,9.25738569183969,-1.31006691114315,1.16435300820043,"S Kodiak","W Shumagins"
"PCA-GAM",NA,0.211020977445441,10.6810452073614,-5.22344284508226,0.999002068531269,"S Kodiak","W Shumagins"
"Simple-LM",NA,0.667460648727789,5.6000899843419,-0.423243258826248,1.7339702847659,"W Shumagins","E Shumagins"
"PCA-GAM",NA,0.628876546045201,6.38491714961496,2.3591330815312,1.52083251784239,"W Shumagins","E Shumagins"
"PCA-LM",NA,0.627730455223522,6.25930293621378,2.11223033074803,1.55135319760347,"W Shumagins","E Shumagins"
"Simple-GAM",NA,0.625973568350028,6.60043849389132,-1.26844318125673,1.47117341277416,"W Shumagins","E Shumagins"
"Filtered SG",1,0.584573095566066,6.16313931790273,-2.11607983308085,1.6775372516169,"W Shumagins","E Shumagins"
"VIP > 0.5",1,0.583903356146157,6.16810533600149,-2.1238024667559,1.67682441226139,"W Shumagins","E Shumagins"
"VIP > 1.0",1,0.562123754078223,6.32747398662,-2.4459508967724,1.66399105783618,"W Shumagins","E Shumagins"
"SG Only",1,0.560584149985451,6.33858815042626,-1.76552773570581,1.59507227135223,"W Shumagins","E Shumagins"
"SNV+SG",1,0.560209985370002,6.34128624465685,-1.76169639077894,1.59404621988909,"W Shumagins","E Shumagins"
"Simple-GAM",NA,0.644194046185046,74.5508042042908,62.4799181044055,0.330421084687689,"W Shumagins","LPW"
"Simple-LM",NA,0.620447654008459,44.232200867475,35.7734880217819,0.556905537287759,"W Shumagins","LPW"
"PCA-LM",NA,0.619906722067674,102.025213209358,92.3528476721105,0.238564793623484,"W Shumagins","LPW"
"PCA-GAM",NA,0.618145031149092,98.2718063915272,88.7703411409383,0.247676569989059,"W Shumagins","LPW"
"SG Only",1,-15.8595308805688,99.0588296204416,-89.5472869659317,0.574659376520506,"W Shumagins","LPW"
"VIP > 1.0",1,-25.5050858029223,124.203849598755,-113.859191179995,0.490467006704322,"W Shumagins","LPW"
"VIP > 0.5",1,-25.7129587405202,124.689948653924,-113.779154550692,0.477166146664652,"W Shumagins","LPW"
"Filtered SG",1,-25.874745198154,125.066969651188,-114.049661594826,0.474210565024693,"W Shumagins","LPW"
"SNV+SG",1,-86.1780049417532,225.254726459165,-201.127821223205,0.239973532445664,"W Shumagins","LPW"
"PCA-GAM",NA,0.732205841927946,9.08645700441457,2.1654399247204,1.86719535240055,"W Shumagins","N Kodiak"
"PCA-LM",NA,0.720081875470774,9.53856045701876,2.85378203262602,1.7786950520344,"W Shumagins","N Kodiak"
"Simple-LM",NA,0.718948015733808,8.88068213863299,-0.573307521468416,1.91046025784703,"W Shumagins","N Kodiak"
"Simple-GAM",NA,0.718480244044082,8.95529983563735,0.32969139441854,1.89454184670778,"W Shumagins","N Kodiak"
"SG Only",1,0.683945118885294,9.38307883105602,-2.95378637646719,1.90502348121202,"W Shumagins","N Kodiak"
"SNV+SG",1,0.619228964252853,10.2990239180467,-4.37957477369414,1.8201257262253,"W Shumagins","N Kodiak"
"Filtered SG",1,0.555916766422949,11.1223434689107,-5.03955728506264,1.71114510967951,"W Shumagins","N Kodiak"
"VIP > 1.0",1,0.555640608570601,11.1258012048563,-5.08363194073298,1.71436770200435,"W Shumagins","N Kodiak"
"VIP > 0.5",1,0.550903433466942,11.184948311668,-5.10899195400422,1.70515534544576,"W Shumagins","N Kodiak"
"VIP > 1.0",1,0.52615556727279,7.01324002382719,0.28405367441078,1.50879752339292,"W Shumagins","S Kodiak"
"VIP > 0.5",1,0.516923622749977,7.08123018222337,0.0838026637406628,1.49318925467052,"W Shumagins","S Kodiak"
"PCA-LM",NA,0.515391183582536,7.33003250863904,-0.0549033680318932,1.44240511024713,"W Shumagins","S Kodiak"
"Filtered SG",1,0.513705678617976,7.10477633554705,0.115626192964086,1.48833352075402,"W Shumagins","S Kodiak"
"PCA-GAM",NA,0.485105754898022,7.41882106568372,-0.0766377106898578,1.42514238517547,"W Shumagins","S Kodiak"
"SNV+SG",1,0.473022713676872,7.39599756978499,0.00655381750639249,1.42954082935181,"W Shumagins","S Kodiak"
"SG Only",1,0.470518879609426,7.41354709861609,0.0750045392714631,1.42622922069144,"W Shumagins","S Kodiak"
"Simple-GAM",NA,0.467366714873092,7.62144968540755,0.560286652534947,1.38725265994761,"W Shumagins","S Kodiak"
"Simple-LM",NA,0.42398783571548,7.85590824404518,-0.349049996033151,1.34585028494354,"W Shumagins","S Kodiak"
"SG Only",1,0.768935304963307,5.03995842818439,0,2.11715759331649,"W Shumagins","W Shumagins"
"SNV+SG",1,0.753032138520089,5.21051173076899,-4.90029472938e-16,2.0478576400125,"W Shumagins","W Shumagins"
"Simple-GAM",NA,0.736905059304141,5.38094567211761,-3.08718656907655e-14,1.98299460846086,"W Shumagins","W Shumagins"
"PCA-GAM",NA,0.723643679345472,5.51181786849368,-6.95842748842724e-14,1.93591053093816,"W Shumagins","W Shumagins"
"PCA-LM",NA,0.712720035487785,5.61969604916475,-1.07807231771996e-14,1.89874793278472,"W Shumagins","W Shumagins"
"Simple-LM",NA,0.681030618455338,5.92153984040726,-1.02907385677998e-14,1.80196140595352,"W Shumagins","W Shumagins"
"VIP > 0.5",1,0.673974084601765,5.98668239911859,9.80058945876e-16,1.78235382217721,"W Shumagins","W Shumagins"
"Filtered SG",1,0.673705680842401,5.98914618713238,-9.80058945876e-16,1.7816206054805,"W Shumagins","W Shumagins"
"VIP > 1.0",1,0.66931869692835,6.02927339990261,4.90029472938e-16,1.769763211667,"W Shumagins","W Shumagins"
