"specimen","region","Ca43","Li7_ppm","B11_ppm","Mg24_ppm","Si29_ppm","Mn55_ppm","Fe56_ppm","Co59_ppm","Ni60_ppm","Cu63_ppm","Cu65_ppm","Zn66_ppm","Rb85_ppm","Sr86_ppm","Sr87_ppm","Sr88_ppm","Cd111_ppm","Ba138_ppm","Ce140_ppm","Pb206_ppm","Pb207_ppm","Pb208_ppm","Th232_ppm","PbTotal_ppm","Sr87_86"
"oto04","middle",1850179.25836822,0.511302189513668,1.4480189129779,124.041416324342,1690.85372865111,5.49580353193252,9.51750281250597,0.206274244194636,1.28021967865584,0.215362010993503,0.286417912546634,12.5562159547423,0.0391443069972544,1263.08417156074,514.018022466902,1477.79668882227,0.0213329032580684,9.24382071052278,0.00190350506699991,0.546562116862172,0.513112583846612,0.525823435240527,0,0.527080930833384,0.408596391436754
"oto04","edge",1685390.06318722,0.51515629404317,1.56801596448919,176.566473407711,1255.44739564335,12.0923291566622,9.92133499567468,0.178128708575781,1.27892434165224,0.930259118707126,1.15100567831752,21.0179894903359,0.0372949433196424,1611.84621735153,614.156017817752,1768.12413959766,0.232658112044413,2.06344620805057,0.0123479156439742,0.672254231770938,0.684241543593486,0.548220117121938,0,0.608077696114955,0.381513576480478
"oto06","core",1638083.56943599,0.387411370438639,1.9586434567889,230.419028884736,1421.92666702748,2.10420938832221,13.5572974969962,0.236840232122382,18.609363223139,0.703851910068395,0.83871930808939,24.6322712604092,0.0206402828205291,1759.41554229547,705.534168186088,1988.03442896656,0.243265689401192,11.4269079580207,0.0044459333921735,1.36381565038506,1.25062508919577,1.27251572351289,0.000383105816291142,1.28848591397045,0.400849083454718
"oto06","middle",1441010.57602494,0.446112398061477,1.46608585042919,123.607837703496,1411.17067117742,6.26453524423717,14.8831991884152,0.24212944383282,1.84302052437953,0.522426628020838,0.665137087383253,22.1413346918113,0.0345658258442614,1280.96032830247,509.134413124299,1442.63208345227,0.210905281185995,9.61424870718885,0.00559536536979858,1.23220277173765,1.16838429738317,1.20384189203925,0,1.20132432609595,0.397814914657979
"oto06","edge",1411854.10540984,0.718840674505786,1.64378796820293,88.7543823466272,1812.2327104533,16.7903508767842,47.1172052434019,0.224545377898855,1.93333172789743,1.01806315834955,1.09696843621152,22.6245639585326,0.0373555489949569,1203.0359879725,479.40947918485,1353.06942662156,0.155019945899887,9.44459161317029,0.00350239117618352,0.834518588908601,0.780090239755614,0.791174944806747,0,0.798342420374984,0.39926516201629
"oto07","core",1454798.61931987,1.44414016947029,2.03065410142818,169.678694625149,1497.57723184555,1.27058497501813,16.9332107163303,0.23349796085057,2.10910700385696,1.141681995488,1.2377719247562,31.8419414241422,0.179863420222162,1362.11019512581,542.126585271231,1596.65855871446,0.425038218837624,2.90744993352717,0.023324900948007,1.78262373787255,1.64486582146764,1.65698445199495,0,1.68307276962558,0.400238237248754
"oto07","middle",1411386.49627026,1.06011377359286,1.85348794840652,96.8910983197135,1027.22397986972,3.4956501538397,9.59112093813102,0.229990525667948,1.60927683956111,0.500644275026085,0.62041678895493,22.6874766171857,0.0460869514344106,1391.98453513721,556.402385653368,1603.61803620488,0.345833594492874,3.94802619341523,0.0062614253768533,1.57417803667868,1.44395493284906,1.47578195635385,0.000225423855992713,1.49100855158883,0.400752015673511
"oto07","edge",1297911.87527858,0.46244234351856,1.81360142911797,99.9271433618723,379.184710115179,10.221804465979,17.0683547807197,0.270074553727531,2.71953650156016,2.04571839367731,2.16153691096919,42.8922581843166,0.0370910028407934,1367.63855113532,531.69046384097,1511.50394050272,0.482681076976116,10.264094965505,0.0071958718160837,1.52823196530434,1.48174626689086,1.38805225454343,0,1.44158589462117,0.38914529990505
"oto08","core",1378101.83712323,0.571459159807714,2.21370546319005,226.223723736994,890.003296570284,3.95120211787034,9.00298248150163,0.216031871155136,1.51776730384594,0.498345948234128,0.687031073434673,18.0673618286771,0.0622708582432814,1435.8762779027,566.097266260353,1628.64920842074,0.0806888297687321,40.964799517904,0.00134101938046857,1.03943861095395,0.944939218874834,0.99692928190498,0,0.994509274124031,0.394618827534533
"oto08","middle",1441733.12097247,0.373053423106356,2.35369310346209,215.423953415835,759.185409627648,1.50033695741019,22.6342695641088,0.246161194759907,3.74422477383861,0.955014287339252,1.11480970530184,21.8235837335437,0.0456054151909307,1490.15982215672,591.321872560138,1672.7211716155,0.140119376329779,22.1487224064293,0.00612124464827804,1.08017993958779,0.899907796037732,0.936837183934327,8.54187578622831e-05,0.962790113297501,0.397761697561609
